DATE,MRTSSM44111USN
1992-01-01,24056
1992-02-01,25041
1992-03-01,28018
1992-04-01,27982
1992-05-01,28924
1992-06-01,30591
1992-07-01,29934
1992-08-01,28052
1992-09-01,28949
1992-10-01,29429
1992-11-01,26171
1992-12-01,26654
1993-01-01,25801
1993-02-01,26165
1993-03-01,31277
1993-04-01,32586
1993-05-01,32786
1993-06-01,34497
1993-07-01,34162
1993-08-01,33517
1993-09-01,32501
1993-10-01,32534
1993-11-01,31679
1993-12-01,32017
1994-01-01,29860
1994-02-01,31959
1994-03-01,39742
1994-04-01,38191
1994-05-01,37869
1994-06-01,39511
1994-07-01,36388
1994-08-01,38533
1994-09-01,37385
1994-10-01,36654
1994-11-01,35170
1994-12-01,34399
1995-01-01,32778
1995-02-01,33412
1995-03-01,41374
1995-04-01,38132
1995-05-01,42309
1995-06-01,43957
1995-07-01,39540
1995-08-01,42592
1995-09-01,38978
1995-10-01,38834
1995-11-01,37202
1995-12-01,35534
1996-01-01,36390
1996-02-01,40087
1996-03-01,44798
1996-04-01,42745
1996-05-01,46525
1996-06-01,43649
1996-07-01,43833
1996-08-01,44020
1996-09-01,41252
1996-10-01,43454
1996-11-01,38484
1996-12-01,37103
1997-01-01,38950
1997-02-01,40036
1997-03-01,45967
1997-04-01,44106
1997-05-01,45673
1997-06-01,45196
1997-07-01,46093
1997-08-01,46085
1997-09-01,43626
1997-10-01,44122
1997-11-01,38649
1997-12-01,40469
1998-01-01,39690
1998-02-01,39936
1998-03-01,47249
1998-04-01,47084
1998-05-01,48972
1998-06-01,51217
1998-07-01,46220
1998-08-01,44965
1998-09-01,44560
1998-10-01,46742
1998-11-01,41949
1998-12-01,43975
1999-01-01,42042
1999-02-01,45230
1999-03-01,53840
1999-04-01,50680
1999-05-01,53277
1999-06-01,54565
1999-07-01,54023
1999-08-01,55555
1999-09-01,51570
1999-10-01,49379
1999-11-01,47695
1999-12-01,48311
2000-01-01,47032
2000-02-01,53501
2000-03-01,59381
2000-04-01,51683
2000-05-01,57481
2000-06-01,57235
2000-07-01,52953
2000-08-01,56931
2000-09-01,52112
2000-10-01,50745
2000-11-01,46458
2000-12-01,44611
2001-01-01,47306
2001-02-01,49251
2001-03-01,56675
2001-04-01,52336
2001-05-01,58144
2001-06-01,57024
2001-07-01,54088
2001-08-01,58125
2001-09-01,48652
2001-10-01,65947
2001-11-01,52687
2001-12-01,49178
2002-01-01,48146
2002-02-01,49591
2002-03-01,54904
2002-04-01,54982
2002-05-01,55678
2002-06-01,55376
2002-07-01,60595
2002-08-01,63686
2002-09-01,51582
2002-10-01,52271
2002-11-01,47747
2002-12-01,51201
2003-01-01,49170
2003-02-01,47673
2003-03-01,56000
2003-04-01,55764
2003-05-01,59506
2003-06-01,58090
2003-07-01,61433
2003-08-01,61356
2003-09-01,55297
2003-10-01,53065
2003-11-01,48537
2003-12-01,53314
2004-01-01,47864
2004-02-01,50584
2004-03-01,60638
2004-04-01,55578
2004-05-01,59332
2004-06-01,57264
2004-07-01,60858
2004-08-01,59246
2004-09-01,57973
2004-10-01,53128
2004-11-01,50718
2004-12-01,57370
2005-01-01,47706
2005-02-01,50927
2005-03-01,61437
2005-04-01,58535
2005-05-01,59474
2005-06-01,65585
2005-07-01,69231
2005-08-01,62506
2005-09-01,53141
2005-10-01,47958
2005-11-01,49730
2005-12-01,55717
2006-01-01,50629
2006-02-01,51314
2006-03-01,62921
2006-04-01,56863
2006-05-01,61023
2006-06-01,60477
2006-07-01,61957
2006-08-01,63872
2006-09-01,55786
2006-10-01,53468
2006-11-01,51710
2006-12-01,55602
2007-01-01,50920
2007-02-01,53146
2007-03-01,63462
2007-04-01,57632
2007-05-01,63279
2007-06-01,59095
2007-07-01,59393
2007-08-01,64017
2007-09-01,55806
2007-10-01,56263
2007-11-01,51284
2007-12-01,53410
2008-01-01,49775
2008-02-01,51502
2008-03-01,57091
2008-04-01,53864
2008-05-01,55396
2008-06-01,49500
2008-07-01,50236
2008-08-01,51435
2008-09-01,44333
2008-10-01,39272
2008-11-01,34535
2008-12-01,38654
2009-01-01,36015
2009-02-01,35243
2009-03-01,40565
2009-04-01,39441
2009-05-01,41068
2009-06-01,42442
2009-07-01,45635
2009-08-01,49947
2009-09-01,37120
2009-10-01,40085
2009-11-01,36810
2009-12-01,42194
2010-01-01,37035
2010-02-01,37155
2010-03-01,49926
2010-04-01,47053
2010-05-01,48346
2010-06-01,46879
2010-07-01,49697
2010-08-01,48858
2010-09-01,45610
2010-10-01,45366
2010-11-01,43813
2010-12-01,49735
