DATE,CUSR0000SETA01,MPRIME,DAUPSA,TOTALNSA,CUSR0000SETB01
1949-01-01,.,2.00,.,.,.
1949-02-01,.,2.00,.,.,.
1949-03-01,.,2.00,.,.,.
1949-04-01,.,2.00,.,.,.
1949-05-01,.,2.00,.,.,.
1949-06-01,.,2.00,.,.,.
1949-07-01,.,2.00,.,.,.
1949-08-01,.,2.00,.,.,.
1949-09-01,.,2.00,.,.,.
1949-10-01,.,2.00,.,.,.
1949-11-01,.,2.00,.,.,.
1949-12-01,.,2.00,.,.,.
1950-01-01,.,2.00,.,.,.
1950-02-01,.,2.00,.,.,.
1950-03-01,.,2.00,.,.,.
1950-04-01,.,2.00,.,.,.
1950-05-01,.,2.00,.,.,.
1950-06-01,.,2.00,.,.,.
1950-07-01,.,2.00,.,.,.
1950-08-01,.,2.00,.,.,.
1950-09-01,.,2.08,.,.,.
1950-10-01,.,2.25,.,.,.
1950-11-01,.,2.25,.,.,.
1950-12-01,.,2.25,.,.,.
1951-01-01,.,2.44,.,.,.
1951-02-01,.,2.50,.,.,.
1951-03-01,.,2.50,.,.,.
1951-04-01,.,2.50,.,.,.
1951-05-01,.,2.50,.,.,.
1951-06-01,.,2.50,.,.,.
1951-07-01,.,2.50,.,.,.
1951-08-01,.,2.50,.,.,.
1951-09-01,.,2.50,.,.,.
1951-10-01,.,2.62,.,.,.
1951-11-01,.,2.75,.,.,.
1951-12-01,.,2.85,.,.,.
1952-01-01,.,3.00,.,.,.
1952-02-01,.,3.00,.,.,.
1952-03-01,.,3.00,.,.,.
1952-04-01,.,3.00,.,.,.
1952-05-01,.,3.00,.,.,.
1952-06-01,.,3.00,.,.,.
1952-07-01,.,3.00,.,.,.
1952-08-01,.,3.00,.,.,.
1952-09-01,.,3.00,.,.,.
1952-10-01,.,3.00,.,.,.
1952-11-01,.,3.00,.,.,.
1952-12-01,.,3.00,.,.,.
1953-01-01,46.300,3.00,.,.,.
1953-02-01,46.800,3.00,.,.,.
1953-03-01,46.900,3.00,.,.,.
1953-04-01,47.300,3.03,.,.,.
1953-05-01,47.500,3.25,.,.,.
1953-06-01,47.600,3.25,.,.,.
1953-07-01,48.400,3.25,.,.,.
1953-08-01,48.800,3.25,.,.,.
1953-09-01,49.500,3.25,.,.,.
1953-10-01,48.100,3.25,.,.,.
1953-11-01,45.200,3.25,.,.,.
1953-12-01,45.000,3.25,.,.,.
1954-01-01,47.600,3.25,.,.,.
1954-02-01,47.300,3.25,.,.,.
1954-03-01,47.200,3.13,.,.,.
1954-04-01,48.000,3.00,.,.,.
1954-05-01,48.300,3.00,.,.,.
1954-06-01,48.100,3.00,.,.,.
1954-07-01,45.600,3.00,.,.,.
1954-08-01,45.900,3.00,.,.,.
1954-09-01,45.900,3.00,.,.,.
1954-10-01,43.100,3.00,.,.,.
1954-11-01,45.500,3.00,.,.,.
1954-12-01,45.600,3.00,.,.,.
1955-01-01,45.700,3.00,.,.,.
1955-02-01,45.700,3.00,.,.,.
1955-03-01,45.500,3.00,.,.,.
1955-04-01,44.400,3.00,.,.,.
1955-05-01,44.500,3.00,.,.,.
1955-06-01,45.000,3.00,.,.,.
1955-07-01,44.800,3.00,.,.,.
1955-08-01,44.400,3.23,.,.,.
1955-09-01,44.100,3.25,.,.,.
1955-10-01,45.000,3.40,.,.,.
1955-11-01,45.000,3.50,.,.,.
1955-12-01,44.500,3.50,.,.,.
1956-01-01,44.500,3.50,.,.,.
1956-02-01,44.700,3.50,.,.,.
1956-03-01,45.300,3.50,.,.,.
1956-04-01,45.100,3.65,.,.,.
1956-05-01,45.400,3.75,.,.,.
1956-06-01,45.400,3.75,.,.,.
1956-07-01,45.700,3.75,.,.,.
1956-08-01,46.100,3.84,.,.,.
1956-09-01,46.300,4.00,.,.,.
1956-10-01,49.300,4.00,.,.,.
1956-11-01,47.500,4.00,.,.,.
1956-12-01,48.100,4.00,.,.,.
1957-01-01,48.400,4.00,.,.,.
1957-02-01,48.500,4.00,.,.,.
1957-03-01,48.400,4.00,.,.,.
1957-04-01,48.800,4.00,.,.,.
1957-05-01,48.600,4.00,.,.,.
1957-06-01,48.500,4.00,.,.,.
1957-07-01,48.600,4.00,.,.,.
1957-08-01,48.800,4.42,.,.,.
1957-09-01,48.900,4.50,.,.,.
1957-10-01,46.200,4.50,.,.,.
1957-11-01,49.600,4.50,.,.,.
1957-12-01,49.100,4.50,.,.,.
1958-01-01,49.000,4.34,.,.,.
1958-02-01,49.300,4.00,.,.,.
1958-03-01,49.200,4.00,.,.,.
1958-04-01,49.400,3.83,.,.,.
1958-05-01,49.300,3.50,.,.,.
1958-06-01,49.500,3.50,.,.,.
1958-07-01,49.900,3.50,.,.,.
1958-08-01,50.100,3.50,.,.,.
1958-09-01,50.800,3.83,.,.,.
1958-10-01,50.400,4.00,.,.,.
1958-11-01,51.800,4.00,.,.,.
1958-12-01,52.300,4.00,.,.,.
1959-01-01,51.900,4.00,.,.,.
1959-02-01,52.000,4.00,.,.,.
1959-03-01,52.200,4.00,.,.,.
1959-04-01,52.100,4.00,.,.,.
1959-05-01,52.300,4.23,.,.,.
1959-06-01,52.400,4.50,.,.,.
1959-07-01,52.400,4.50,.,.,.
1959-08-01,52.300,4.50,.,.,.
1959-09-01,52.500,5.00,.,.,.
1959-10-01,52.400,5.00,.,.,.
1959-11-01,52.300,5.00,.,.,.
1959-12-01,52.400,5.00,.,.,.
1960-01-01,52.100,5.00,.,.,.
1960-02-01,52.100,5.00,.,.,.
1960-03-01,51.600,5.00,.,.,.
1960-04-01,51.900,5.00,.,.,.
1960-05-01,51.900,5.00,.,.,.
1960-06-01,51.600,5.00,.,.,.
1960-07-01,51.800,5.00,.,.,.
1960-08-01,51.700,4.85,.,.,.
1960-09-01,51.200,4.50,.,.,.
1960-10-01,51.300,4.50,.,.,.
1960-11-01,50.700,4.50,.,.,.
1960-12-01,51.000,4.50,.,.,.
1961-01-01,51.300,4.50,.,.,.
1961-02-01,51.300,4.50,.,.,.
1961-03-01,51.500,4.50,.,.,.
1961-04-01,51.500,4.50,.,.,.
1961-05-01,51.600,4.50,.,.,.
1961-06-01,51.600,4.50,.,.,.
1961-07-01,51.700,4.50,.,.,.
1961-08-01,51.900,4.50,.,.,.
1961-09-01,52.200,4.50,.,.,.
